市立高雄高工,553401
市立高雄高商,563401
私立國際商工,581401
私立三信家商,581402
市立中正高工,593401
國立高餐大附屬餐旅中學,610405
國立金門農工,710401
私立南華高中進修學校,351B09
私立志仁中學進修學校,361B09
私立光華高商進修學校,011C71
國立成功大學附設高工進修學校,210C01
國立和美實驗學校,070F01
市立楠梓特殊學校,543F01
私立宏德高商進修學校,031G91
國立二林工商進校分校,070G92
私立樹德高中進修學校,111G91
私立正德高中進修學校,151G91
誠正中學桃園分校,03C301
誠正中學,04C301
誠正中學彰化分校,07C301
明陽中學,12C301
